"x" "freq"
"1" "20th Century Fox" 43
"2" "20th Century Fox Distribution" 1
"3" "20th Century-Fox" 2
"4" "Almi Cinema 5" 1
"5" "Amblin Entertainment" 1
"6" "Artisan Entertainment" 1
"7" "Artisan Home Entertainment" 1
"8" "Bryanston Pictures" 1
"9" "Buena Vista" 8
"10" "Buena Vista Distribution Compa" 1
"11" "Buena Vista Pictures" 6
"12" "Columbia Pictures" 7
"13" "Columbia Tristar Pictures" 1
"14" "Compass International Pictures" 1
"15" "Destination Film" 1
"16" "Destination Films" 1
"17" "Dimension Films" 1
"18" "Disney//Pixar" 1
"19" "Dreamworks" 4
"20" "DreamWorks SKG" 2
"21" "DreamWorks Studios" 1
"22" "DreamWorks//Paramount Studios" 2
"23" "FilmDistrict" 1
"24" "Focus Features" 10
"25" "Fox" 1
"26" "Fox Faith" 1
"27" "Fox Searchlight" 3
"28" "Fox Searchlight Pictures" 5
"29" "Gramercy Pictures" 3
"30" "Gramercy Pictures// USA Films" 1
"31" "IFC Films" 2
"32" "IMAX" 2
"33" "Indican" 1
"34" "Liberty Films" 1
"35" "Lions Gate" 1
"36" "Lions Gate Films" 2
"37" "Lions Gate Films Inc." 1
"38" "Lions Gate Releasing" 1
"39" "Lionsgate" 2
"40" "LionsGate Entertainment" 2
"41" "Lionsgate Films" 3
"42" "Magidson Films" 1
"43" "Magnet//Magnolia Pictures" 1
"44" "Magnolia Distribution" 1
"45" "Magnolia Pictures" 3
"46" "MCA Universal Home Video" 1
"47" "MGM" 3
"48" "MGM Home Entertainment" 2
"49" "Miramax Films" 8
"50" "Monica Beach Enterprises" 1
"51" "N/A" 66
"52" "National General Pictures" 1
"53" "NCM// Fathom" 1
"54" "New Line Cinema" 11
"55" "Newmarket Films" 1
"56" "Open Road Films" 1
"57" "Optimum Productions" 1
"58" "Orion Pictures Corporation" 2
"59" "Overture Films" 1
"60" "Paramount" 2
"61" "Paramount Pictures" 25
"62" "Paramount Studios" 3
"63" "Paramount Vantage" 1
"64" "Paramount//DWA" 1
"65" "Picturehouse" 1
"66" "Playtone Company" 1
"67" "Pop Art Films" 1
"68" "Relativity Media" 1
"69" "RKO" 1
"70" "Rocky Mountain Pictures" 4
"71" "Sherwood Pictures" 1
"72" "Shinchosha Company" 1
"73" "Sony" 1
"74" "Sony Pictures" 16
"75" "Sony Pictures Classics" 8
"76" "Sony Pictures Home Entertainment" 2
"77" "Sony Pictures Releasing" 1
"78" "Sony Pictures//Columbia" 1
"79" "Sony Pictures//Columbia Pictures" 1
"80" "Sony Pictures//Screen Gems" 1
"81" "Sony Screen Gems" 1
"82" "Sony//Columbia Pictures" 1
"83" "Sony//MGM" 1
"84" "Streamline Pictures" 1
"85" "Sullivan Films" 1
"86" "Summit Entertainment" 5
"87" "The Weinstein Co." 1
"88" "The Weinstein Co.//Dimension" 2
"89" "The Weinstein Company" 4
"90" "TLA Releasing" 1
"91" "Tokuma Shoten" 1
"92" "Touchstone Pictures" 2
"93" "TriStar//FilmDistrict" 1
"94" "Turner Home Entertainment" 1
"95" "Twentieth Century Fox Home Entertainment" 1
"96" "United Artists" 1
"97" "Universal" 2
"98" "Universal International Pictur" 1
"99" "Universal Pictures" 25
"100" "Universal Studios" 1
"101" "Walt Disney Home Entertainment" 1
"102" "Walt Disney Pictures" 7
"103" "Walt Disney Pictures//PIXAR" 1
"104" "Walt Disney Studios" 2
"105" "Warner Bros." 5
"106" "Warner Bros. Pictures" 55
"107" "Warner Bros. Pictures//Village Roadshow" 2
"108" "WARNER BROTHERS PICTURES" 1
"109" "Warner Home Video" 1
"110" "Warner Independent Pictures" 1
"111" "WB" 1
"112" "Yari Film Group" 1
"113" "York" 1
